county_state,alc_any_2008,alc_heavy_2008,alc_binge_2008
"Clearwater, ID",61.2,11.3,21.3
"Custer, ID",51.6,8.9,16.5
"Elmore, ID",55.2,9.1,18.7
"Franklin, ID",18.7,3.5,7.5
"Fremont, ID",26.8,4.2,9.2
"Gem, ID",52.9,7.9,15.9
"Gooding, ID",46.6,8.1,17.5
"Idaho, ID",60.1,10.3,20.5
"Jefferson, ID",23.9,4.1,8.7
"Jerome, ID",48.8,8.1,18.0
"Kootenai, ID",62.5,9.1,17.2
"Latah, ID",63.9,8.9,19.7
"Lemhi, ID",54.8,9.3,18.4
"Lewis, ID",54.9,8.6,19.1
"Lincoln, ID",47.9,8.5,16.7
"Madison, ID",11.3,2.3,5.5
"Minidoka, ID",37.6,5.7,13.9
"Nez Perce, ID",61.1,9.9,20.9
"Oneida, ID",21.1,4.6,9.4
"Owyhee, ID",48.9,9.5,19.6
"Payette, ID",52.0,8.0,16.8
"Power, ID",38.7,5.4,13.8
"Shoshone, ID",63.2,14.5,25.2
"Teton, ID",48.5,7.4,14.1
"Twin Falls, ID",50.1,7.4,16.8
"Valley, ID",68.2,12.3,20.9
"Washington, ID",52.7,9.2,18.7
"Adams, IL",57.3,9.6,21.6
"Alexander, IL",39.8,6.6,16.8
"Bond, IL",53.0,8.4,18.7
"Boone, IL",62.9,8.9,20.7
"Brown, IL",56.6,10.2,22.3
"Bureau, IL",57.5,9.4,21.4
"Calhoun, IL",63.8,15.7,31.4
"Carroll, IL",59.6,10.4,22.9
"Cass, IL",53.6,7.8,20.9
"Champaign, IL",61.0,9.0,19.1
"Christian, IL",53.4,9.3,20.9
"Clark, IL",46.2,6.3,16.2
"Clay, IL",47.6,7.2,18.2
"Clinton, IL",67.4,15.3,29.6
"Coles, IL",54.1,8.7,19.4
"Cook, IL",63.9,9.5,21.5
"Crawford, IL",48.0,6.8,17.1
"Cumberland, IL",47.5,7.4,17.5
"De Witt, IL",53.9,8.4,19.3
"DeKalb, IL",64.7,8.9,20.7
"Douglas, IL",50.8,7.8,19.5
"DuPage, IL",70.3,9.6,22.0
"Edgar, IL",49.7,7.7,18.5
"Edwards, IL",42.2,5.8,15.3
"Effingham, IL",58.3,8.2,21.3
"Fayette, IL",46.3,6.2,16.3
"Ford, IL",55.5,8.0,19.9
"Franklin, IL",46.7,7.4,17.6
"Fulton, IL",49.9,9.2,20.2
"Gallatin, IL",46.5,8.2,19.5
"Greene, IL",51.0,9.5,21.3
"Grundy, IL",60.8,10.0,22.4
"Hamilton, IL",47.1,5.8,15.9
