county_state,cig_total_2012,cig_daily_2012,alc_any_2012,alc_heavy_2012,alc_binge_2012,hd_deaths_per100k_over65
"Hernando, FL",26.26,20.14,59.3,10.8,20.0,1050.2
"Highlands, FL",24.99,18.56,52.9,8.0,15.7,777.2
"Hillsborough, FL",19.67,14.2,57.0,9.7,19.2,1004.2
"Holmes, FL",27.47,21.63,41.2,8.1,15.7,1481.7
"Indian River, FL",23.57,16.73,65.7,11.9,20.0,839.6
"Jackson, FL",25.2,18.62,41.8,7.3,14.4,1106.8
"Jefferson, FL",23.95,16.58,45.7,9.0,15.8,937.0
"Lafayette, FL",26.06,18.94,39.9,6.4,13.0,1111.6
"Lake, FL",22.83,16.98,58.9,8.9,16.6,931.3
"Lee, FL",21.11,14.94,64.5,10.1,19.4,659.8
"Leon, FL",16.16,9.99,59.8,9.7,18.5,901.5
"Levy, FL",26.24,19.4,44.3,7.8,15.0,1076.4
"Liberty, FL",27.51,19.86,32.4,5.6,12.1,1001.3
"Madison, FL",25.86,18.4,40.6,6.4,13.3,1159.3
"Manatee, FL",22.87,16.72,62.0,10.4,19.6,774.5
"Marion, FL",24.7,18.34,57.9,8.0,16.6,1229.8
"Martin, FL",20.98,15.14,67.0,10.9,19.8,734.1
"Miami-Dade, FL",16.18,8.84,53.3,5.7,15.9,947.5
"Monroe, FL",20.12,13.29,68.9,14.8,25.0,777.6
"Nassau, FL",22.85,17.11,54.3,9.1,16.4,943.3
"Okaloosa, FL",21.62,15.65,57.2,11.3,19.1,928.9
"Okeechobee, FL",28.04,20.58,48.1,7.9,16.3,1085.6
"Orange, FL",18.68,12.76,57.0,8.8,17.4,931.5
"Osceola, FL",20.46,13.96,50.6,6.9,15.4,1026.6
"Palm Beach, FL",18.25,12.46,61.8,8.6,17.5,793.2
"Pasco, FL",25.23,18.78,59.9,11.7,20.6,922.8
"Pinellas, FL",23.23,17.17,65.0,14.8,22.2,843.7
"Polk, FL",23.97,17.71,53.1,8.5,16.9,942.3
"Putnam, FL",27.17,20.29,43.8,7.2,15.7,957.6
"St. Johns, FL",17.37,11.79,69.0,12.3,21.0,759.3
"St. Lucie, FL",24.1,17.1,57.0,9.4,17.7,839.2
"Santa Rosa, FL",21.89,16.02,57.7,10.5,17.8,995.2
"Sarasota, FL",23.69,17.11,68.6,12.5,21.1,620.1
"Seminole, FL",18.73,13.01,60.9,10.1,18.7,892.6
"Sumter, FL",25.71,19.1,63.3,9.8,18.2,751.8
"Suwannee, FL",27.15,20.2,39.0,6.2,12.8,1181.3
"Taylor, FL",27.6,20.86,42.5,8.0,15.3,990.1
"Union, FL",27.98,21.22,40.3,6.8,14.0,1502.2
"Volusia, FL",24.58,18.53,57.7,10.4,18.8,1093.7
"Wakulla, FL",25.38,18.17,52.7,9.8,18.8,1067.6
"Walton, FL",23.28,17.14,54.7,11.3,18.5,888.6
"Washington, FL",27.38,20.98,37.3,6.5,13.4,1577.2
"Appling, GA",25.7,19.07,32.8,5.6,12.7,1344.3
"Atkinson, GA",27.07,18.84,31.6,4.9,12.7,1362.4
"Bacon, GA",27.52,20.66,30.2,4.8,11.3,1383.1
"Baker, GA",26.14,18.63,42.4,8.5,15.8,1016.3
"Baldwin, GA",24.18,17.24,44.6,6.7,14.6,1606.1
"Banks, GA",24.62,19.01,35.4,4.9,11.1,1034.2
"Barrow, GA",23.31,17.15,49.0,6.4,15.5,996.4
"Bartow, GA",25.82,19.57,43.2,5.6,13.9,1319.3
"Ben Hill, GA",27.49,20.49,35.4,6.1,13.0,1503.0
"Berrien, GA",28.13,20.48,42.7,7.2,15.7,1276.6
