county_state,2012 Both Sexes,cig_total_mean,cig_daily_mean,deaths-per-100k
"Clark, IN",51.3,27.16,21.01,1127.8
"Clark, KS",46.5,19.15,13.79,1185.0
"Clark, KY",41.4,27.99,22.32,1291.1
"Clark, MO",47.3,27.83,22.15,1233.3
"Clark, NV",54.4,23.12,16.7,1236.0
"Clark, OH",50.1,27.52,20.61,1208.7
"Clark, SD",57.4,22.37,16.66,858.2
"Clark, WA",60.9,18.86,13.28,966.8
"Clark, WI",61.6,23.97,18.4,1069.6
"Clarke, AL",35.0,24.2,17.74,1255.4
"Clarke, GA",53.9,17.59,11.01,1077.8
"Clarke, IA",51.0,24.82,19.0,1241.0
"Clarke, MS",32.3,25.88,19.24,1573.7
"Clarke, VA",56.0,18.76,13.4,1053.7
"Clatsop, OR",65.7,23.64,16.87,910.8
"Clay, AL",31.0,28.87,22.55,1554.7
"Clay, AR",36.6,30.33,24.51,1291.9
"Clay, FL",56.5,20.45,14.83,920.4
"Clay, GA",33.0,26.96,18.56,1308.1
"Clay, IA",62.9,22.66,17.34,1040.4
"Clay, IL",46.1,25.57,19.89,1268.6
"Clay, IN",42.2,26.82,20.54,1475.5
"Clay, KS",56.3,23.92,18.34,1023.0
"Clay, KY",20.9,36.73,30.67,1508.3
"Clay, MN",65.4,18.63,13.61,880.3
"Clay, MO",57.2,23.0,16.94,975.4
"Clay, MS",39.2,24.47,16.13,1188.0
"Clay, NC",40.6,23.67,17.14,1029.8
